timestamp,motor.m1,motor.m2,motor.m3,motor.m4
842035,51196.0,48935.0,51304.0,42460.0
842085,50225.0,47769.0,51498.0,42012.0
842135,48425.0,46423.0,52753.0,41843.0
842185,54141.0,45196.0,48945.0,40909.0
842235,50220.0,45859.0,52756.0,42247.0
842285,52307.0,44751.0,52158.0,44453.0
842335,53070.0,44712.0,53499.0,44130.0
842385,52096.0,46722.0,53833.0,44143.0
842435,52702.0,45644.0,54366.0,43911.0
842485,52245.0,44565.0,54087.0,44803.0
842535,52343.0,44015.0,54254.0,44123.0
842585,52776.0,43303.0,53291.0,44028.0
842635,50993.0,45997.0,57647.0,45559.0
842685,59804.0,47095.0,49661.0,44915.0
842735,55031.0,46997.0,55648.0,45528.0
842785,53296.0,46838.0,55993.0,46922.0
842836,55650.0,47341.0,53231.0,46249.0
842885,52904.0,47903.0,55141.0,45736.0
842935,53030.0,47778.0,54677.0,45059.0
842985,52466.0,48551.0,54677.0,43559.0
843036,53994.0,46577.0,52738.0,45106.0
843085,52869.0,47580.0,54166.0,45438.0
843136,52130.0,46714.0,53616.0,44641.0
843185,52557.0,45764.0,52784.0,44609.0
843235,52861.0,46038.0,53229.0,45249.0
843285,52692.0,47807.0,53580.0,44206.0
843335,53306.0,46801.0,53211.0,45113.0
843385,52814.0,47129.0,53150.0,45218.0
843435,52892.0,46932.0,53371.0,44761.0
843485,53066.0,47165.0,52736.0,43912.0
843535,53167.0,45618.0,52411.0,45357.0
