Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
1041148,-599,661,592,-739,-847,-166,0.07610738349365971,0.05673459496800087,0.04566443009619582,0.994436328648323,30,1538,87
1041196,-629,624,584,-704,-902,-213,0.08164246592956223,0.024907870961561357,0.047048200705171454,0.9952389524790056,732,578,182
1041245,-667,573,571,-676,-991,-256,0.10931787810907485,0.03597803583336641,0.049815741923122714,0.9921056265942408,1122,-1871,1
1041295,-694,530,559,-631,-1080,-283,0.11900427237190427,0.07749115410263534,0.05396705375004961,0.9883929690677764,-770,-1114,-44
1041346,-726,468,543,-534,-1189,-308,0.08717754836546475,0.08302623653853786,0.0581183655769765,0.9910242048960735,-1628,1531,116
1041396,-750,401,527,-453,-1269,-287,0.05950213618595213,0.0401293476602933,0.060885906794927766,0.9955611671813175,-55,769,229
1041445,-785,384,465,-448,-1230,-400,0.060885906794927766,0.0401293476602933,0.06365344801287903,0.9953043656923194,161,-1561,28
1041496,-811,323,440,-403,-1260,-359,0.047048200705171454,0.0802586953205866,0.06780475983980593,0.9933516613862934,-1571,-772,-8
1041546,-834,260,423,-337,-1254,-271,0.001383770608975631,0.07472361288468407,0.07057230105775718,0.9947029793761426,-1261,1510,157
1041595,-833,225,433,-264,-1157,-106,-0.020756559134634464,0.04151311826926893,0.07610738349365971,0.9960188213292965,247,705,229
1041647,-848,166,430,-236,-1116,3,-0.012453935480780678,0.03597803583336641,0.0802586953205866,0.9960466968240248,175,-1378,10
1041695,-864,105,434,-200,-1086,104,-0.01383770608975631,0.08164246592956223,0.07887492471161096,0.9934393649835159,279,-2224,-19
1041746,-872,47,442,-81,-1064,145,0.0,0.13560951967961185,0.07472361288468407,0.9879405042054531,1189,-1151,-101
1041795,-873,2,447,41,-1062,142,0.024907870961561357,0.1466796845514169,0.07057230105775718,0.9863489334041338,896,891,15
1041846,-869,-48,453,176,-1058,125,0.0401293476602933,0.11900427237190427,0.06918853044878155,0.9896668964191593,0,839,114
1041895,-858,-104,459,282,-1077,113,0.034594265224390776,0.10931787810907485,0.07195607166673282,0.9907952170300409,-505,-678,19
